Database Name	General Source	Specific Source	Disease	Clinical/Healthy
fever			fever	clinical
fluid				clinical
food poisoning			food poisoning	clinical
hard tick-borne relapsing fever (borrelia miyamotoi disease)			hard tick-borne relapsing fever (borrelia miyamotoi disease)	clinical
healthy				healthy
healthy adult 3c				healthy
healthy carrier				healthy
healthy control				healthy
healthy participant				healthy
healthy participants				healthy
healthy person				healthy
healthy volunteer				healthy
hemoculture				clinical
human clinical sample				clinical
human patient				clinical
icu patients				clinical
infant				clinical
infectious disease				clinical
invasive				clinical
invasive disease				clinical
late onset disease				clinical
legionellosis			legionellosis	clinical
leptospirosis			leptospirosis	clinical
listeriosis			listeriosis	clinical
mdr-tb			tuberculosis	clinical
melioidosis			melioidosis	clinical
meningococcemia			meningococcemia	clinical
metaplasia				clinical
miscellaneous body fluid				clinical
mycobacteriosis			mycobacteriosis	clinical
neonatal invasive disease				clinical
nocardiosis			nocardiosis	clinical
normal				healthy
nosocomial infection			nosocomial infection	clinical
nosocomial infections				clinical
orthopedic joint implant				clinical
patient				clinical
patient fluids				clinical
patient sample				clinical
patient ulcer				clinical
patient with severe clostridium difficile associated disease			patient with severe clostridium difficile associated disease	clinical
patients				clinical
patients (n=15) from 9 norwegian hospital laboratories				clinical
patients with invasive disease				clinical
patients with symptoms				clinical
pneumococcal disease			pneumococcal disease	clinical
pneumonia/sepsis				clinical
post surgical secretion				clinical
premature infant				clinical
prosthetic joint infection				clinical
puncture fluids				clinical
s. aureus infection				clinical
salmonellosis			salmonellosis	clinical
secretion				clinical
several infections				clinical
shigellosis			shigellosis	clinical
sick				clinical
staph infection			staph infection	clinical
staphylococcal infection			staphylococcal infection	clinical
stenotrophomonas maltophilia bacteremia			bacteremia	clinical
syphilis			syphilis	clinical
systemic salmonella infection			systemic salmonella infection	clinical
tb			tuberculosis	clinical
tissue				clinical
tissues				clinical
tuberculosis			tuberculosis	clinical
tuberculosis patient			tuberculosis	clinical
tularemia			tularemia	clinical
typhoid fever			typhoid fever	clinical
ulcer				clinical
ulceroglandular tularemia			ulceroglandular tularemia	clinical
vaginal-rectal				clinical
vaginal/rectal				clinical
vibrio infection			vibrio infection	clinical
vietnamese medical tourist				clinical
Human invasive infection				clinical
mucus				clinical
other (pus)				clinical
pus				clinical
suppuration				clinical
